"시설년도","위치코드","시설구분1","시설구분2","쉼터명칭","도로명주소","지번주소","시설면적","이용가능인원","비고","경도","위도","X좌표(EPSG:5186)","Y좌표(EPSG:5186)"
"2026","1156056000","특정계층이용시설","회원이용시설","현대3차아파트경로당","서울특별시 영등포구 당산로41길 23 (당산현대아파트 103동)","서울특별시 영등포구 당산동4가 88","","","","126.8960970","37.5309060","190816.11786560","547939.37071622"
"2026","1156056000","특정계층이용시설","회원이용시설","유원제일2차아파트경로당","서울특별시 영등포구 선유동2로 56 (유원제일2차아파트 202동)","서울특별시 영등포구 당산동5가 7-2","","","","126.8985110","37.5334920","191029.79868440","548226.15189878"
"2026","1156056000","공공시설","복지?문화?체육시설","당산2동작은도서관","서울특별시 영등포구 당산로41가길 7","서울특별시 영등포구 당산동4가 80-5","33.00","4","","126.8973788","37.5310980","190929.43816705","547960.55595711"
"2026","1156056000","공공시설","공공청사","당산2동주민센터","서울특별시 영등포구 당산로41가길 7","서울특별시 영등포구 당산동4가 80-5","81.75","24","","126.8973380","37.5310150","190925.82184887","547951.34791626"
"2026","1156056000","특정계층이용시설","회원이용시설","구립당산2동경로당","서울특별시 영등포구 당산로48길 16","서울특별시 영등포구 당산동6가 184","119.00","25","","126.9039603","37.5349296","191511.60328249","548385.20204650"
"2026","1156056000","특정계층이용시설","회원이용시설","구립남부경로당","서울특별시 영등포구 당산로35길 4-9 (당산동4가)","서울특별시 영등포구 당산동4가 57","161.00","50","","126.8973976","37.5292920","190930.88121458","547760.11044481"
"2026","1156058500","공공시설","복지?문화?체육시설","영등포다목적배드민턴경기장","서울특별시 영등포구 도신로15길 5 (영등포다목적 배드민턴 체육관)","서울특별시 영등포구 도림동 254","42.00","12","","126.8974130","37.5066680","190929.50440614","545249.12952805"
"2026","1156058500","특정계층이용시설","회원이용시설","쌍용플레티넘시티경로당","서울특별시 영등포구 도영로7길 15 (쌍용플래티넘시티1단지 상가에이동)","서울특별시 영등포구 도림동 820","145.00","23","","126.8943880","37.5094790","190662.39125807","545561.41052614"
"2026","1156058500","특정계층이용시설","회원이용시설","동아에코빌경로당","서울특별시 영등포구 도림로 365 (동아에코빌)","서울특별시 영등포구 도림동 165-1","120.00","25","","126.8987710","37.5093050","191049.89037151","545541.67283174"
"2026","1156058500","특정계층이용시설","회원이용시설","도림한라아파트경로당","서울특별시 영등포구 도신로15라길 5-7 (한라아파트)","서울특별시 영등포구 도림동 231-1","55.08","24","","126.8972480","37.5075900","190915.02723433","545351.47565951"
"2026","1156058500","특정계층이용시설","회원이용시설","영등포아트자이아파트","서울특별시 영등포구 도영로 66 (영등포아트자이아파트 보육시설,경로당)","서울특별시 영등포구 도림동 821","184.80","38","","126.9002170","37.5102360","191177.84731923","545644.86542240"
"2026","1156058500","공공시설","복지?문화?체육시설","늘샘드리작은도서관","서울특별시 영등포구 도영로7길 10 (도림동)","서울특별시 영등포구 도림동 222-7","205.00","31","","126.8959000","37.5094000","190796.06398536","545552.49356674"
"2026","1156058500","공공시설","공공청사","도림동주민센터","서울특별시 영등포구 도영로7길 10","서울특별시 영등포구 도림동 222-7","2,246.40","30","","126.8959700","37.5094590","190802.26023249","545559.03497067"
"2026","1156058500","특정계층이용시설","회원이용시설","구립모랫말경로당","서울특별시 영등포구 도영로 41","서울특별시 영등포구 도림동 205-23","176.00","40","","126.8974590","37.5096800","190933.93589313","545583.41865348"
"2026","1156058500","특정계층이용시설","회원이용시설","구립미루나무길경로당","서울특별시 영등포구 도신로29가길 12","서울특별시 영등포구 도림동 81-2","175.00","40","","126.9064340","37.5093580","191727.41656213","545546.85388329"
"2026","1100000000","공공시설","복지?문화?체육시설","문래청소년센터","서울특별시 영등포구 문래로 110 (시립문래청소년센터)","서울특별시 영등포구 문래동3가 73","","","","126.8940310","37.5189090","190632.00612172","546608.05675708"
"2026","1156060500","공공시설","복지?문화?체육시설","옹달샘드롭인센터응급구호시설(노숙)","서울특별시 영등포구 경인로94길 6","서울특별시 영등포구 문래동1가 13","490.00","122","","126.9025180","37.5141600","191381.73777050","546080.16637481"
"2026","1156060500","특정계층이용시설","회원이용시설","베어스타운아파트","서울특별시 영등포구 선유서로 40 (베어스타운아파트 경비실)","서울특별시 영등포구 문래동6가 38-1","","","","126.8853040","37.5191120","189860.53900214","546631.49200066"
"2026","1156060500","특정계층이용시설","회원이용시설","문래현대6차아파트경로당","서울특별시 영등포구 선유서로 31 (문래동현대6차아파트)","서울특별시 영등포구 문래동6가 55-1","","","","126.8837940","37.5184270","189726.95664147","546555.62941310"
"2026","1156060500","특정계층이용시설","회원이용시설","문래현대5차아파트경로당","서울특별시 영등포구 선유서로9길 5 (문래현대5차아파트 관리실 및 노인정)","서울특별시 영등포구 문래동5가 23-1","","","","126.8828360","37.5175980","189642.15125709","546463.72586904"
"2026","1156060500","특정계층이용시설","회원이용시설","문래두산위브경로당","서울특별시 영등포구 선유로9나길 8 (문래 두산위브 상가동)","서울특별시 영등포구 문래동5가 14","","","","126.8857120","37.5169600","189896.31725668","546392.60314741"
"2026","1156060500","특정계층이용시설","회원이용시설","문래동현대3차아파트경로당","서울특별시 영등포구 선유서로 6 (현대3차아파트 101동)","서울특별시 영등포구 문래동5가 21","","","","126.8843490","37.5162790","189775.72766849","546317.16797032"
"2026","1156060500","특정계층이용시설","회원이용시설","문래동현대2차아파트경로당","서울특별시 영등포구 문래로4길 6 (현대아파트 201동)","서울특별시 영등포구 문래동6가 45","","","","126.8828040","37.5205250","189639.72699578","546788.58967737"
"2026","1156060500","특정계층이용시설","회원이용시설","문래동현대1차아파트경로당","서울특별시 영등포구 문래로4길 14 (현대아파트 경로당)","서울특별시 영등포구 문래동6가 46","","","","126.8826540","37.5195040","189626.32545496","546675.28799576"
"2026","1156060500","특정계층이용시설","회원이용시설","해태아파트경로당","서울특별시 영등포구 영신로25길 8 (문래동해태아파트 101동)","서울특별시 영등포구 문래동3가 13","","","","126.9012680","37.5172150","191271.58261233","546419.34803742"
"2026","1156060500","특정계층이용시설","회원이용시설","문래자이아파트경로당","서울특별시 영등포구 당산로 26 (문래자이 상가동)","서울특별시 영등포구 문래동3가 54","","","","126.8965370","37.5163980","190853.23800855","546329.12076526"
"2026","1156060500","특정계층이용시설","회원이용시설","문래건영아파트경로당","서울특별시 영등포구 문래로 94-7 (문래건영아파트 상가동)","서울특별시 영등포구 문래동3가 93-1","","","","126.8924280","37.5184490","190490.23744515","546557.16336387"
"2026","1156060500","특정계층이용시설","회원이용시설","남성아파트경로당","서울특별시 영등포구 경인로77길 19 (남성맨션아파트 상가)","서울특별시 영등포구 문래동2가 35","","","","126.8914510","37.5125940","190403.11727624","545907.43145384"
"2026","1156060500","특정계층이용시설","회원이용시설","공원한신아파트경로당","서울특별시 영등포구 문래로20길 14 (문래공원한신아파트 상가)","서울특별시 영등포구 문래동3가 77-2","","","","126.8929450","37.5177760","190535.85717447","546482.41669032"
"2026","1156060500","특정계층이용시설","회원이용시설","문래제2경로당","서울특별시 영등포구 영신로25길 11","서울특별시 영등포구 문래동3가 14","","","","126.9008820","37.5173340","191237.47212964","546432.59141979"
"2026","1156060500","특정계층이용시설","회원이용시설","문래동한신아파트경로당","서울특별시 영등포구 선유서로 43 (한신아파트 노인정)","서울특별시 영등포구 문래동6가 43","","","","126.8837670","37.5193550","189724.69699153","546658.62871734"
"2026","1156060500","공공시설","복지?문화?체육시설","목화마을작은도서관","서울특별시 영등포구 선유로13길 25 (문래동6가)","서울특별시 영등포구 문래동6가 22-1","110.00","24","","126.8866410","37.5187512","189978.68549175","546591.30446981"
"2026","1156060500","공공시설","공공청사","문래동주민센터","서울특별시 영등포구 문래로28길 15","서울특별시 영등포구 문래동3가 55-16","250.44","10","","126.8994880","37.5170870","191114.20622412","546405.30827762"
"2026","1156060500","특정계층이용시설","회원이용시설","구립문래제1경로당","서울특별시 영등포구 문래로20길 7","서울특별시 영등포구 문래동3가 73-1","201.00","50","","126.8941860","37.5184340","190645.64931948","546555.32230098"
"2026","1156060500","특정계층이용시설","회원이용시설","구립목화경로당","서울특별시 영등포구 도림로143길 20-7","서울특별시 영등포구 문래동4가 35-7","195.00","50","","126.8901760","37.5142250","190290.60501103","546088.58261717"
"2026","1156060500","특정계층이용시설","회원이용시설","영등포노인종합복지관","서울특별시 영등포구 도림로 482","서울특별시 영등포구 문래동3가 76-2","72.00","21","","126.8901000","37.5169000","190284.23274491","546385.48171268"
"2026","1156061000","특정계층이용시설","회원이용시설","양평삼성래미안아파트경로당","서울특별시 영등포구 영등포로3길 7 (양평동삼성아파트 상가동)","서울특별시 영등포구 양평동2가 38-1","","20","","126.8826220","37.5243370","189624.16587280","547211.69416258"
"2026","1156061000","특정계층이용시설","회원이용시설","상록수아파트경로당","서울특별시 영등포구 영등포로 17 (상록수아파트)","서울특별시 영등포구 양평동2가 45","","20","","126.8836520","37.5237760","189715.13754958","547149.31703334"
"2026","1156061000","특정계층이용시설","회원이용시설","벽산아파트경로당","서울특별시 영등포구 선유서로21길 15 (양평동벽산블루밍아파트 상가동)","서울특별시 영등포구 양평동2가 23","","20","","126.8829110","37.5223460","189649.43749035","546990.68613828"
"2026","1156061000","특정계층이용시설","회원이용시설","양평1동신동아아파트경로당","서울특별시 영등포구 영등포로12길 8 (신동아아파트 노인정)","서울특별시 영등포구 양평동1가 20","","20","","126.8865440","37.5221350","189970.56329667","546966.87423680"
"2026","1156061000","특정계층이용시설","회원이용시설","양평1동삼호아파트경로당","서울특별시 영등포구 선유로 172 (양평동삼호아파트 제1동)","서울특별시 영등포구 양평동3가 66","","20","","126.8926210","37.5284380","190508.56489283","547665.79830135"
"2026","1156061000","특정계층이용시설","회원이용시설","우림루미아파트경로당","서울특별시 영등포구 선유로33길 23 (양평동 우림 루미아트 상가)","서울특별시 영등포구 양평동3가 102","","20","","126.8880800","37.5265200","190106.92379530","547453.39199161"
"2026","1156061000","특정계층이용시설","회원이용시설","양평동경남아너스빌아파트경로당","서울특별시 영등포구 선유로33길 30 (경남아너스빌)","서울특별시 영등포구 양평동3가 55-1","","20","","126.8883830","37.5272130","190133.79850960","547530.27457152"
"2026","1156061000","특정계층이용시설","회원이용시설","양평1동삼천리아파트경로당","서울특별시 영등포구 선유서로 115 (삼천리 아파트 101)","서울특별시 영등포구 양평동3가 24","","20","","126.8856360","37.5260650","189890.82695581","547403.15249613"
"2026","1156061000","특정계층이용시설","회원이용시설","양평역월드메르디앙아파트경로당","서울특별시 영등포구 선유서로 116 (관리사무소)","서울특별시 영등포구 양평동3가 19","","20","","126.8866020","37.5259030","189976.19460261","547385.06912752"
"2026","1154570000","생활밀착민간시설","금융기관","새마을금고시흥제1지점","서울특별시 금천구 독산로 140-1 (시흥동)","서울특별시 금천구 시흥동 802-34","21.00","15","","126.9052112","37.4599475","191613.78234748","540063.04942284"
"2026","1154570000","특정계층이용시설","회원이용시설","한울경로당","서울특별시 금천구 독산로50마길 39-8 (시흥동, 삼성빌라)","서울특별시 금천구 시흥동 3-33","78.94","25","","126.9130540","37.4611121","192307.77520021","540191.63480464"
"2026","1154567000","특정계층이용시설","회원이용시설","장수경로당","서울특별시 금천구 시흥동 독산로50길  57-1  (시흥동)","서울특별시 금천구 시흥동 8-9","333.00","40","","126.9075398","37.4628413","191820.11507669","540384.01696648"
"2026","1154570000","특정계층이용시설","회원이용시설","신흥경로당","서울특별시 금천구 금하로23길 155","서울특별시 금천구 시흥동 산 126-13","148.00","40","","126.9073526","37.4570322","191802.91955392","539739.30260484"
"2026","1154567000","공공시설","공공청사","시흥4동주민센터","서울특별시 금천구 독산로36길 14 (시흥4동주민센터)","서울특별시 금천구 시흥동 812-38","30.00","50","","126.9061460","37.4589380","191696.37499063","539950.92593374"
"2026","1154570000","공공시설","복지?문화?체육시설","새재미마을활력소","서울특별시 금천구 독산로50길 105","서울특별시 금천구 시흥동 3-83","150.00","40","","126.9101755","37.4623248","192053.23887799","540326.46689335"
"2026","1154571000","공공시설","공공청사","금천정원지원센터","서울특별시 금천구 시흥대로40길 120","서울특별시 금천구 시흥동 산 77-13","30.00","5","","126.9097820","37.4463020","192016.72313984","538548.19027485"
"2026","1154571000","특정계층이용시설","회원이용시설","시흥5동임시어르신쉼터","서울특별시 금천구 금하로 700 (시흥동)","서울특별시 금천구 시흥동 909-15","20.00","15","","126.9076520","37.4514243","191828.79924850","539116.87701435"
"2026","1154571000","생활밀착민간시설","금융기관","새마을금고금천남부","서울특별시 금천구 금하로 724-1 (시흥동)","서울특별시 금천구 시흥동 272-19","7.00","10","","126.9101357","37.4504235","192048.45785273","539005.58958133"
"2026","1154571000","공공시설","복지?문화?체육시설","공동체경제통합지원센터(1관)","서울특별시 금천구 은행나무로 45 (시흥동)","서울특별시 금천구 시흥동 909-34","119.00","29","","126.9074665","37.4510333","191812.34308573","539073.49753033"
"2026","1154571000","공공시설","복지?문화?체육시설","금천마을활력소어울샘(2층어울샘홀)","서울특별시 금천구 탑골로 22 (시흥동)","서울특별시 금천구 시흥동 247-19","150.00","30","","126.9116314","37.4518201","192180.94859526","539160.46766959"
"2026","1154571000","특정계층이용시설","회원이용시설","읍내경로당","서울특별시 금천구 은행나무로10길 12-1","서울특별시 금천구 시흥동 921-29","95.00","30","","126.9063177","37.4504237","191710.62633443","539005.94082048"
"2026","1154571000","특정계층이용시설","회원이용시설","탑동경로당","서울특별시 금천구 금하로23가길 14-1 (시흥동)","서울특별시 금천구 시흥동 828-48","118.80","20","","126.9095322","37.4515244","191995.17513237","539127.82533361"
"2026","1154571000","공공시설","공공청사","시흥5동주민센터","서울특별시 금천구 금하로24길 6 (시흥동)","서울특별시 금천구 시흥동 910-5","711.00","30","","126.9084000","37.4508000","191894.91696647","539047.52375320"
"2026","1156051500","공공시설","복지?문화?체육시설","이동노동자쉼터2호점","서울특별시 영등포구 신길로52길 17-1","서울특별시 영등포구 신길동 219-28","29.00","5","","126.9121970","37.5113960","192237.16002478","545772.55488592"
"2026","1156051500","공공시설","복지?문화?체육시설","희망지원센터응급구호시설(노숙인)","서울특별시 영등포구 경인로102길 10","서울특별시 영등포구 영등포동 423-91","96.00","24","","126.9058880","37.5157680","191679.85386119","546258.33069743"
"2026","1156051500","특정계층이용시설","회원이용시설","푸르지오아파트경로당","서울특별시 영등포구 도신로29길 28 (영등포푸르지오 상가2동)","서울특별시 영등포구 영등포동 647","294.00","30","","126.9023950","37.5114280","191370.54894982","545776.96029079"
"2026","1156051500","특정계층이용시설","회원이용시설","구립영등포본동경로당","서울특별시 영등포구 영신로9나길 7 (영등포동)","서울특별시 영등포구 영등포동 620-50","290.00","50","","126.9066274","37.5129173","191744.90792003","545941.87394185"
"2026","1156051500","특정계층이용시설","회원이용시설","영등포어르신복지센터","서울특별시 영등포구 도영로22길 36 (영등포동)","서울특별시 영등포구 영등포동 645-20","638.13","10","","126.9032827","37.5101833","191448.89028647","545638.73337984"
"2026","1156051500","공공시설","복지?문화?체육시설","청소년문화의집작은도서관","서울특별시 영등포구 영등포로64길 15","서울특별시 영등포구 신길동 107-2","50.00","10","","126.9172000","37.5135000","192679.69090155","546005.67117606"
"2026","1156051500","공공시설","복지?문화?체육시설","영등포본동작은도서관","서울특별시 영등포구 신길로61길 17","서울특별시 영등포구 영등포동 592-70","40.00","16","","126.9093134","37.5146921","191982.56767991","546138.62199303"
"2026","1156051500","공공시설","공공청사","영등포본동주민센터","서울특별시 영등포구 신길로61길 17","서울특별시 영등포구 영등포동 592-70","65.00","30","","126.9093200","37.5146380","191983.14538669","546132.61701505"
"2026","1156051500","특정계층이용시설","회원이용시설","구립신광경로당","서울특별시 영등포구 신길로60길 31-2 (신길동)","서울특별시 영등포구 신길동 186-128","195.00","50","","126.9137836","37.5134917","192377.64768023","546005.02126570"
"2026","1156051500","특정계층이용시설","회원이용시설","구립방학경로당","서울특별시 영등포구 영등포로62라길 2-12","서울특별시 영등포구 신길동 36-4","257.00","25","","126.9153660","37.5166040","192517.85768703","546350.32018438"
"2026","1100000000","공공시설","복지?문화?체육시설","서울시노동자복지관","서울특별시 영등포구 국회대로44길 10 (서울노총복지회관)","서울특별시 영등포구 영등포동7가 57","","","","126.9033030","37.5247930","191452.35165773","547260.22426128"
